alpha_deg,Cl_coarse,Cd_coarse,Cl_medium,Cd_medium,Cl_fine,Cd_fine,Cl_Cdomain,Cd_Cdomain,Cl_exp,Cd_exp
0,-0.008,0.00707,0.0042,0.01149,-0.00019,0.00958,-0.00044,0.00952,0.000,0.0080
4,0.128,0.00845,0.1966,0.01909,0.1855,0.01651,0.294,0.01621,0.440,0.0083
8,0.280,0.0312,0.4116,0.04210,0.3892,0.03761,0.581,0.03576,0.860,0.0116
12,0.566,0.0652,0.9146,0.07005,0.8795,0.06533,0.850,0.060,1.120,0.0190
